HIT,END,RUN
CAT,HIT,DIP
LAY,BUY,WET
BIG,ZIP,MOM
EAT,SEE,CUT
BIG,PEG,FRY
TWO,OLD,MAN
COW,TOE,WHO
OUR,NOT,TUG
PAW,CUB,MAP
EAR,HAT,FIX
RUB,EGG,DEN
SIR,BUY,OLD
ROW,MIX,DID
MIX,OLD,SOW
DAY,ASK,GAS
JET,DOT,ZAP
AGE,FRY,LET
CAT,BOX,JAR
NET,TOE,RAG
EAR,NOD,PIN
MUG,MOM,GEL
NOW,MUD,FLY
OWL,HER,NUT
CUT,SET,HAS
OWL,ACT,PIN
TAP,MAT,DOT
WHO,HER,CRY
FEW,GEL,WET
CAB,SOB,NOT
ROW,RUG,GET
LIT,TOE,FIT
LOT,BUN,ZAP
DAD
COAT,LOVE,DOOR
DUCK,SNOW,LIFE
ROSE,BOOT,RAIN
DUCK,HEAD,BEAR
FROG,BIRD,SAND
SNOW,BIRD,JUMP
STAR,ROSE,HOME
DUCK,BOOK,BANK
ROSE,BIRD,LIFE
GAME,SHIP,WIND
NOSE,DESK,GOLD
WORD,HAND,TREE
WALL,HORN,WIND
MILK,BOAT,SAND
BOOT,SHOP,SOCK
HAND,FIRE,BOAT
LAMP,BOOK,SIGN
SHIP,LOVE,LOVE
WALL,ROAD,LOVE
BOAT,HATE,HOME
DOOR,HOME,JUMP
FIRE,HAIR,WIND
STAR,DESK,HAIR
EYES,HORN,WALL
WORD,DOOR,GOLD
SHOE,BOOK,RAIN
WORK,QUEEN,DARK
GOLD,ROSE,JUMP
HATE,LAMP,DUCK
DOOR,SNOW,SHOP
SNOW,BEAR,LION
LOVE,HAND,COAT
EYES,RAIN,DOOR
PLAY
PIECE,LEVEL,SHALL
UNDUE,HOTEL,CROSS
DEBUT,PANEL,FRANK
ABUSE,FAITH,DYING
BLAME,ROUTE,CRIME
PLANE,SHIRT,SINCE
BROWN,ALBUM,POWER
SENSE,ADULT,AWARE
PRICE,LIMIT,TIMES
MONEY,ADMIT,TRACK
POINT,PANEL,CHAIN
BEGAN,EXIST,FRAME
DREAM,INPUT,NOVEL
APPLE,CHASE,STRIP
BOOST,COUNT,MONEY
SLIDE,CLEAN,MONTH
WORLD,DREAM,APPLY
APART,FIRST,GREAT
TOPIC,COACH,TRAIN
STEEL,CLAIM,AWARE
DEATH,SUGAR,JUDGE
URBAN,KNOWN,PRIOR
SPARE,SPORT,ISSUE
RIVAL,EAGER,NIGHT
STYLE,CHART,LEAVE
LABEL,CHAIR,FLOOR
BELOW,RURAL,TODAY
BEGIN,DRINK,FIFTY
SOLVE,URBAN,DEPTH
TABLE,ASIDE,THANK
BRIEF,SLIDE,WASTE
CHAIR,INDEX,ALONE
FRAUD,APPLE,CRASH
STUFF
